facility_name,state,industry_sector,total_ghg_emissions_tonnes,latitude,longitude,reporting_year
ATLANTIC COUNTY LANDFILL,NJ,Waste,78462.998,39.41653,-74.54036,2021
ATLANTIC WASTE DISPOSAL INC - SUSSEX COUNTY LAND,VA,Waste,138227.898,37.061279,-77.177106,2021
AUBURN SANITARY LANDFILL NO 2,NY,Waste,3461.598,42.95203,-76.5868,2021
AUDUBON METALS LLC,KY,Metals,46488.524,37.808762,-87.632861,2021
AUGUSTA COUNTY SVC AUTHORITY LANDFILL,VA,Waste,99412.8,38.0781,-79.0635,2021
AUSTIN WHITE LIME COMPANY MCNEIL PLANT & QUARRY,TX,Minerals,213643.334,30.45407,-97.72091,2021
AUTUMN HILLS RECYCLING AND DISPOSAL FACILITY,MI,Waste,87154.848,42.780647,-85.920569,2021
AVA LANDFILL,NY,Waste,71957.148,43.461,-75.412,2021
AVENAL REGIONAL LANDFILL,CA,Waste,20199.75,36.01195,-120.11535,2021
AZUSA LAND RECLAMATION CO INC INERT LF,CA,Waste,116148.5,34.11432,-117.92861,2021
Abbott Laboratories,AZ,Other,24468.008,32.896,-111.7848,2021
Abbott Nutrition,OH,Other,25391.852,39.97553,-82.98999,2021
